cluster,gene,score,logfoldchange,pval,pval_adj
6,txn,16.861504,2.8673244,8.636253693695656e-64,7.851139721541507e-62
6,tuba8l,16.505173,2.6914005,3.367693536518671e-61,2.806411280432226e-59
6,stmn1a,16.438385,3.420549,1.0159107246639204e-60,8.127285797311362e-59
6,mki67,16.134445,3.5087945,1.4611378012484948e-58,1.1239521548065344e-56
6,rrm2-1,15.819061,3.3315723,2.2989354285951708e-56,1.6420967347108363e-54
6,ccnd1,15.507761,2.9912295,3.0741239114151984e-54,2.1200854561484126e-52
6,sox11b,15.426106,2.7276924,1.0926572832634033e-53,7.284381888422689e-52
6,ptgdsb.2,14.765782,2.4955516,2.434807365158761e-49,1.5217546032242258e-47
6,tmsb,14.642622,2.70171,1.5016324836243104e-48,9.100802931056426e-47
6,slc1a2b,14.518016,2.0946517,9.316862963324934e-48,5.480507625485255e-46
6,nrgna,14.062646,1.9028077,6.443179095516179e-45,3.5795439419534327e-43
6,hsp70.3,13.828618,1.5555617,1.7128057623492647e-43,9.258409526212242e-42
6,cenpf,13.349007,3.4755962,1.2003948779444457e-40,6.317867778654978e-39
6,zbtb18,13.296802,1.4424179,2.4158449099163434e-40,1.2388948255981247e-38
6,pleca,13.243463,2.158732,4.922583239499208e-40,2.461291619749604e-38
6,s100a10b,13.076026,1.8550802,4.514320181085825e-39,2.1496762767075355e-37
6,six3b,13.020885,1.7742212,9.30848075115824e-39,4.329525930771275e-37
6,actb2,12.584367,0.74875456,2.5739749440031045e-36,1.169988610910502e-34
6,hsp90aa1.2,12.393193,1.007355,2.844859393997937e-35,1.264381952887972e-33
6,cabp5a,12.282734,1.0910554,1.1214356723758545e-34,4.875807271199368e-33
6,hsp70l,12.073824,1.2293675,1.4522534235448197e-33,6.179801802318381e-32
6,ctnnb1,11.986333,1.6128538,4.190514136027936e-33,1.7460475566783064e-31
6,hsp70.2,11.8046465,1.3563528,3.6933853177361996e-32,1.5075042113208977e-30
6,si:dkey-56m19.5,11.798837,1.5571623,3.957462601734527e-32,1.5829850406938108e-30
6,top2a,11.791328,3.3888175,4.3266126258582346e-32,1.6967108336698962e-30
6,rbpms2b,11.543795,1.9374292,7.934612161508648e-31,3.051773908272557e-29
6,pygl,11.510859,2.5797782,1.1631487408554211e-30,4.3892405315298914e-29
6,scarb2a,11.427731,1.3858646,3.0394899474068875e-30,1.1257370175581064e-28
6,si:dkey-238o13.4,11.20203,2.7532053,3.984932048613614e-29,1.4231900173620049e-27
6,aqp1a.1,11.149715,2.1335151,7.183593932117962e-29,2.5205592744273548e-27
7,glula,23.850042,3.9714813,1.011601559367741e-125,2.023203118735482e-122
7,nfasca,23.783024,5.087055,5.00540510599969e-125,5.005405105999689e-122
7,slc1a2b,23.22686,5.4357653,2.4379569546247086e-119,1.6253046364164723e-116
7,cahz,22.681034,4.2265735,6.895111218074287e-114,3.447555609037143e-111
7,pleca,21.66871,4.734584,4.049295305442842e-104,1.6197181221771368e-101
7,rhbg,21.490595,5.410212,1.9065307834339407e-102,6.355102611446469e-100
7,gpr37a,21.421196,5.43498,8.478491446353368e-102,2.422426127529534e-99
7,rlbp1a,21.302551,4.1357255,1.0750371224272583e-100,2.6875928060681457e-98
7,pik3ip1,21.28153,4.3747563,1.6835342780353534e-100,3.7411872845230076e-98
7,pax6b,21.25967,3.444605,2.682957191173934e-100,5.365914382347868e-98
7,lfng,21.193306,5.4440284,1.1009122267063525e-99,2.0016585940115502e-97
7,qkia,21.149439,3.378871,2.7924485007258387e-99,4.6540808345430644e-97
7,fat1a,21.135498,3.3890948,3.7521393662744484e-99,5.485822923155341e-97
7,atp1a1b,21.134403,4.9488792,3.840076046208738e-99,5.485822923155341e-97
7,phf24,21.052181,4.824557,2.183959384437783e-98,2.911945845917044e-96
7,igsf9ba,20.971527,4.1040654,1.1937225310956376e-97,1.4921531638695469e-95
7,aqp1a.1,20.935387,5.3096037,2.549834254746119e-97,2.999805005583669e-95
7,ptgdsb.2,20.692318,5.085863,4.062060775602715e-95,4.5134008617807954e-93
7,scarb2a,20.457493,4.183632,5.151956022809862e-93,5.423111602957749e-91
7,rbpms2b,20.298306,4.1189904,1.3309515722663722e-91,1.3309515722663722e-89
7,slc38a4,20.294352,5.424418,1.442445366340799e-91,1.373757491753142e-89
7,col15a1b,19.975706,5.672016,8.960852242405182e-89,7.837183155582664e-87
7,selenop,19.975418,3.7661233,9.012760628920063e-89,7.837183155582664e-87
7,mdka,19.725492,3.4732327,1.3028461830235998e-86,1.0857051525196665e-84
7,id1,19.69657,4.2481685,2.3073327320949963e-86,1.845866185675997e-84
7,sox13,19.630295,4.852926,8.521846076947128e-86,6.555266213036252e-84
