group,n_egfp_pos,n_egfp_neg,gene,score,logfoldchange,pval,pval_adj
Muller glia,205,1602,rab3aa,8.503983,1.264428,1.8319472173070517e-17,2.1800402712246357e-15
Muller glia,205,1602,psma6a,8.503414,1.1311508,1.8409471590305143e-17,2.1800402712246357e-15
Muller glia,205,1602,sh3bgrl2,8.503272,1.1962589,1.8432039526014454e-17,2.1800402712246357e-15
Muller glia,205,1602,agla,8.503201,1.2147605,1.8443333728416024e-17,2.1800402712246357e-15
Muller glia,205,1602,sept2,8.50178,0.90448904,1.8670657181338425e-17,2.1950035313779177e-15
Muller glia,205,1602,ahcyl1,8.50121,1.0639516,1.8762358682273e-17,2.1950035313779177e-15
Muller glia,205,1602,rab5ab,8.498509,1.0229473,1.9204045686882778e-17,2.235213746198249e-15
Muller glia,205,1602,clpxa,8.497443,0.9314411,1.9381206204259705e-17,2.238206912721822e-15
Muller glia,205,1602,mycbp,8.497159,1.1966676,1.942872072757688e-17,2.238206912721822e-15
Muller glia,205,1602,pls3,8.496591,1.0102218,1.952409484204807e-17,2.238206912721822e-15
Muller glia,205,1602,c7a,8.494387,1.3714885,1.9898052539470443e-17,2.269462147189519e-15
Muller glia,205,1602,eif4bb,8.493818,1.1527873,1.9995699451413374e-17,2.269462147189519e-15
Muller glia,205,1602,nhsl1a,8.492823,1.082498,2.0167720518037478e-17,2.2705983103024723e-15
Muller glia,205,1602,ap1s2,8.49261,1.018749,2.020477170873633e-17,2.2705983103024723e-15
Muller glia,205,1602,gipc2,8.4881315,1.0186216,2.099854711578613e-17,2.3482345850609264e-15
Muller glia,205,1602,ddx39b,8.484649,0.98164725,2.1637129638652655e-17,2.4078431143735757e-15
Muller glia,205,1602,C25H11orf96,8.48081,1.0731294,2.2363079889203652e-17,2.4692745562182035e-15
Muller glia,205,1602,nhp2,8.480526,1.2198037,2.2417800049982903e-17,2.4692745562182035e-15
Muller glia,205,1602,fez1,8.480028,1.0931005,2.2513878389224843e-17,2.4692745562182035e-15
Muller glia,205,1602,nfu1,8.47882,1.3743961,2.2748906173906686e-17,2.48311385906858e-15
Muller glia,205,1602,lamtor4,8.473915,1.1944132,2.372794972220604e-17,2.5776462714889827e-15
Muller glia,205,1602,pwwp2b,8.4685135,0.93100613,2.4854467525495716e-17,2.682723069636988e-15
Muller glia,205,1602,capns1a,8.468158,1.0392557,2.4930403312279906e-17,2.682723069636988e-15
Muller glia,205,1602,chchd6b,8.465813,0.97906655,2.54373518287884e-17,2.7244239777941302e-15
Muller glia,205,1602,csrp2,8.463538,1.1093793,2.5938646449900074e-17,2.7651324367363104e-15
Muller glia,205,1602,cdc42l,8.462756,1.1245708,2.6113207549950012e-17,2.7707935062186496e-15
Muller glia,205,1602,eif2s1a,8.461476,1.2986157,2.6401356213084703e-17,2.788398793005099e-15
Muller glia,205,1602,slc12a4,8.459273,1.4442167,2.6904983540582694e-17,2.8284948825406128e-15
Muller glia,205,1602,zgc:194398,8.454937,1.0855439,2.792382550398107e-17,2.9000837051680093e-15
Muller glia,205,1602,ajap1,8.454937,1.4015532,2.792382550398107e-17,2.9000837051680093e-15
Muller glia,205,1602,timm17a,8.454439,1.3048308,2.804314914902946e-17,2.9000837051680093e-15
Muller glia,205,1602,fibpa,8.4542265,1.3210018,2.80944417149051e-17,2.9000837051680093e-15
Muller glia,205,1602,ndufa10,8.453089,1.0310023,2.8369569220154114e-17,2.9152927145016927e-15
Muller glia,205,1602,wasla,8.448256,1.1628028,2.956881901151028e-17,3.0249034444375967e-15
Muller glia,205,1602,ccdc59,8.445057,1.785893,3.038979852328314e-17,3.095011043355617e-15
Muller glia,205,1602,ddr1,8.444133,1.3269242,3.063112891237567e-17,3.1057241950134492e-15
Muller glia,205,1602,nbr1a,8.443279,1.2036973,3.085557298435182e-17,3.114637993327513e-15
Muller glia,205,1602,rnd3a,8.440152,1.2888021,3.169250202538976e-17,3.1850266462784874e-15
Muller glia,205,1602,mrpl32,8.43866,1.1361669,3.2099801520957844e-17,3.1997299625060948e-15
Muller glia,205,1602,si:ch211-57i17.2,8.438588,1.2142719,3.2119325008280177e-17,3.1997299625060948e-15
Muller glia,205,1602,ndufs4,8.437878,1.0722091,3.231520530434793e-17,3.2052468635134318e-15
Muller glia,205,1602,trappc1,8.435319,1.0838141,3.303018150839357e-17,3.2558261508581475e-15
Muller glia,205,1602,ppp1r13ba,8.435034,1.3155624,3.311058023929734e-17,3.2558261508581475e-15
Muller glia,205,1602,rab5c,8.434039,1.0204904,3.339349906917292e-17,3.269553194270566e-15
Muller glia,205,1602,etv5a,8.431196,1.0799352,3.421504552168919e-17,3.335674502078186e-15
Muller glia,205,1602,slmapb,8.429419,1.0526851,3.4738603742702775e-17,3.3723053922650147e-15
Muller glia,205,1602,vmp1,8.427216,1.2396419,3.5398802638605887e-17,3.4218342567564243e-15
Muller glia,205,1602,pink1,8.419681,1.2456906,3.775115317472715e-17,3.622952440133955e-15
Muller glia,205,1602,mat2b,8.4195385,1.1863409,3.779698771542021e-17,3.622952440133955e-15
Muller glia,205,1602,hccsb,8.417478,1.2136284,3.846779015685188e-17,3.671822999365112e-15
Muller glia,205,1602,cacna2d4b,8.416838,1.5328983,3.867834809183627e-17,3.676538145912754e-15
Muller glia,205,1602,ecm1b,8.414065,2.126168,3.960398014880972e-17,3.748902900974258e-15
Muller glia,205,1602,rer1,8.411577,1.1386149,4.045325935797735e-17,3.800081259352175e-15
Muller glia,205,1602,got2a,8.411507,1.1927226,4.047778661388588e-17,3.800081259352175e-15
Muller glia,205,1602,ccdc137,8.406886,1.4821366,4.210392307257878e-17,3.936544250224343e-15
Muller glia,205,1602,ccdc32,8.40454,1.3429297,4.2953993623935494e-17,3.9996304348687365e-15
Muller glia,205,1602,vash2,8.403901,1.2627411,4.31887545535998e-17,4.005142510696228e-15
Muller glia,205,1602,srprb,8.402905,1.2483094,4.355645612028211e-17,4.022888394623465e-15
Muller glia,205,1602,rab13,8.401271,1.194029,4.4167252107547135e-17,4.062852912618842e-15
Muller glia,205,1602,ap3s2,8.400773,1.0952002,4.435481791594376e-17,4.0637207273752006e-15
Muller glia,205,1602,prdx5,8.398854,1.1232378,4.5085674537731705e-17,4.114157972917093e-15
Muller glia,205,1602,pwp2h,8.3969345,1.1490316,4.582840726285639e-17,4.165272728635628e-15
Muller glia,205,1602,si:dkey-61n16.5,8.394447,1.4288167,4.680919603149384e-17,4.237532496295512e-15
Muller glia,205,1602,flot1b,8.393878,1.2150608,4.7036267107057896e-17,4.241258345902418e-15
Muller glia,205,1602,selenok,8.3923855,1.1580588,4.76375109592772e-17,4.277274941240668e-15
Muller glia,205,1602,hspb1,8.391959,1.2562281,4.781068294465306e-17,4.277274941240668e-15
Muller glia,205,1602,pdia7,8.390537,0.9993749,4.839241952774565e-17,4.31240729174399e-15
Muller glia,205,1602,dldh,8.389471,1.0046804,4.8833298477772367e-17,4.334762794449109e-15
Muller glia,205,1602,pygl,8.388974,1.0716659,4.9040395519394094e-17,4.336273422418362e-15
Muller glia,205,1602,psenen,8.387979,1.1952366,4.9457191908995813e-17,4.3490703979160506e-15
Muller glia,205,1602,tent4b,8.387552,1.261236,4.963688673254129e-17,4.3490703979160506e-15
Muller glia,205,1602,pxk,8.387268,1.0449973,4.9757040891425466e-17,4.3490703979160506e-15
Muller glia,205,1602,lrp1aa,8.385278,0.9183139,5.0606190381291284e-17,4.406408477741977e-15
Muller glia,205,1602,ostc,8.382221,1.2577899,5.1938147820552187e-17,4.505189985666376e-15
Muller glia,205,1602,cox5ab,8.381368,1.1904384,5.2315988485357424e-17,4.520775171653253e-15
Muller glia,205,1602,nelfe,8.380871,1.2280432,5.253764621583114e-17,4.522797445742475e-15
Muller glia,205,1602,ndufb10,8.379023,1.1189063,5.33690860614808e-17,4.5771013545885774e-15
Muller glia,205,1602,KCTD5,8.377032,0.9358347,5.427899936489379e-17,4.6377034176454014e-15
Muller glia,205,1602,abcc5,8.373052,0.9295504,5.614497259802611e-17,4.758168406356369e-15
Muller glia,205,1602,msrb1a,8.37291,1.5041283,5.621277174995142e-17,4.758168406356369e-15
Muller glia,205,1602,bccip,8.372696,1.0652707,5.631462191365536e-17,4.758168406356369e-15
Muller glia,205,1602,zgc:91910,8.3705635,1.0462744,5.734318704699048e-17,4.827196037280419e-15
Muller glia,205,1602,ube2d1b,8.368787,1.0573367,5.82144613086377e-17,4.882523918507176e-15
Muller glia,205,1602,dynlrb1-1,8.3645935,1.14575,6.032277198687156e-17,5.025449744095204e-15
