cell_type,comparison,n_cells_test,n_cells_reference,gene,score,logfoldchange,pval,pval_adj
Cones,10dp_vs_ctrl,809,652,tmsb4x,6.885108,0.85050416,5.774377237955433e-12,4.6479235580481277e-10
Cones,10dp_vs_ctrl,809,652,si:ch211-207d6.2,6.8842344,1.4296105,5.80990444756016e-12,4.6479235580481277e-10
Cones,10dp_vs_ctrl,809,652,hmgn2,6.8776855,1.1087419,6.083274463589741e-12,4.679441895069032e-10
Cones,10dp_vs_ctrl,809,652,guca1c,6.7557487,0.5585048,1.4209967480583875e-11,1.0525901837469536e-09
Cones,10dp_vs_ctrl,809,652,actb1,6.539131,1.0677891,6.187731323264652e-11,4.267400912596311e-09
Cones,10dp_vs_ctrl,809,652,hspa4a,6.2632604,1.5835029,3.770109014953214e-10,2.432328396744009e-08
Cones,10dp_vs_ctrl,809,652,fosab,6.1910334,1.3388337,5.977100730605233e-10,3.7356879566282705e-08
Cones,10dp_vs_ctrl,809,652,marcksl1b,6.17201,1.0399896,6.742720765575964e-10,4.086497433682402e-08
Cones,10dp_vs_ctrl,809,652,abcc13,6.067911,2.7326553,1.2958436688299532e-09,7.622609816646783e-08
Cones,10dp_vs_ctrl,809,652,tubb5,6.012837,1.4293535,1.8230431314195092e-09,1.0128017396775052e-07
Cones,10dp_vs_ctrl,809,652,scarb2a,5.9002557,1.4321388,3.6293853570325748e-09,1.961829922720311e-07
Cones,10dp_vs_ctrl,809,652,lrrfip1a,5.7621646,1.4659394,8.304205254897923e-09,4.3706343446831175e-07
Cones,10dp_vs_ctrl,809,652,gadd45ga,5.6330547,1.0767052,1.7704538595674336e-08,8.852269297837168e-07
Cones,10dp_vs_ctrl,809,652,si:ch73-212j7.3,5.599062,0.8528706,2.1551482696334775e-08,1.0512918388455987e-06
Cones,10dp_vs_ctrl,809,652,dnajb1b,5.3778286,1.1207285,7.538943877177426e-08,3.4267926714442846e-06
Cones,10dp_vs_ctrl,809,652,atf3,5.3588676,1.2265141,8.37451160235568e-08,3.7220051566025248e-06
Cones,10dp_vs_ctrl,809,652,pbx1a,5.3119016,0.9493414,1.0848709537431664e-07,4.716830233665941e-06
Cones,10dp_vs_ctrl,809,652,sox11b,5.212169,1.6031333,1.866452977077895e-07,7.94235309394849e-06
Cones,10dp_vs_ctrl,809,652,vgf,5.1728125,0.7156954,2.3059646261360403e-07,9.41210051484098e-06
Cones,10dp_vs_ctrl,809,652,ablim1b,5.081687,1.4352341,3.7409726422205553e-07,1.496389056888222e-05
Cones,10dp_vs_ctrl,809,652,si:ch211-222l21.1,4.9698544,0.67106694,6.700322574295304e-07,2.5770471439597324e-05
Cones,10dp_vs_ctrl,809,652,syt5b,4.9487104,0.9848919,7.470686369507627e-07,2.8191269318896704e-05
Cones,10dp_vs_ctrl,809,652,sox6,4.9244475,1.7305028,8.459900135355234e-07,3.1332963464278645e-05
Cones,10dp_vs_ctrl,809,652,hsp90aa1.2,4.9009957,0.57477206,9.535211782487089e-07,3.467349739086214e-05
Cones,10dp_vs_ctrl,809,652,nr4a1,4.8815355,1.6789789,1.052628486186563e-06,3.759387450666296e-05
Cones,10dp_vs_ctrl,809,652,si:ch211-251b21.1,4.8658805,1.2363805,1.1394842415541554e-06,3.9981903212426504e-05
Cones,10dp_vs_ctrl,809,652,wdr47b,4.8335094,1.004921,1.3414696081981956e-06,4.5473546040616805e-05
Cones,10dp_vs_ctrl,809,652,itpr1b,4.8264613,0.6241394,1.389803514757642e-06,4.632678382525473e-05
Cones,10dp_vs_ctrl,809,652,jund,4.805255,0.92412955,1.5455446490604101e-06,5.067359505116099e-05
Cones,10dp_vs_ctrl,809,652,ifi45,4.7877283,1.3944521,1.6867971071347611e-06,5.441280990757294e-05
Cones,10dp_vs_ctrl,809,652,atp1a3a,4.712009,0.91240734,2.4528662104021986e-06,7.786876858419678e-05
Cones,10dp_vs_ctrl,809,652,ank3a,4.69679,0.6350485,2.642816626933553e-06,8.258801959167353e-05
