cell_type,comparison,n_cells_test,n_cells_reference,gene,score,logfoldchange,pval,pval_adj
Rods,10dp_vs_ctrl,1601,299,hsp70.1,1.6227685,2.0767593,0.1046389031268147,1.0
Rods,10dp_vs_ctrl,1601,299,pik3ip1,1.5960697,1.23487,0.11047322741996206,1.0
Rods,10dp_vs_ctrl,1601,299,s100z,1.5905577,1.3749293,0.11170914612959464,1.0
Rods,10dp_vs_ctrl,1601,299,cd74a,1.5671891,2.3856125,0.11707049324935345,1.0
Rods,10dp_vs_ctrl,1601,299,zbtb18,1.5530072,0.96299595,0.12042141676316569,1.0
Rods,10dp_vs_ctrl,1601,299,stx1b,1.4036664,2.439146,0.16041823435314817,1.0
Rods,10dp_vs_ctrl,1601,299,apoeb,1.3922404,0.578069,0.1638496124868073,1.0
Rods,10dp_vs_ctrl,1601,299,FAT4,1.3832834,0.9786239,0.16657798782223898,1.0
Rods,10dp_vs_ctrl,1601,299,scarb2a,1.3719723,5.774133,0.17007206055427226,1.0
Rods,10dp_vs_ctrl,1601,299,lgals3bpb,1.3650823,3.8309493,0.17222718558607863,1.0
