cell_type,comparison,n_cells_test,n_cells_reference,gene,score,logfoldchange,pval,pval_adj
Cones,10dp_vs_ctrl,809,652,fabp7a,9.879831,1.5937892,5.091839500633501e-23,7.744008968530137e-20
Cones,10dp_vs_ctrl,809,652,plekha6,9.73226,1.7178311,2.1965812153120037e-22,3.131912954057046e-19
Cones,10dp_vs_ctrl,809,652,slc25a5,9.6552305,0.6969707,4.671078180858007e-22,6.268312149406689e-19
Cones,10dp_vs_ctrl,809,652,si:ch211-132b12.7,9.456451,2.5165715,3.1857166720397707e-21,3.825039707328594e-18
Cones,10dp_vs_ctrl,809,652,rpgra,9.218502,2.3399155,3.0127820724972994e-20,3.436529870994045e-17
Cones,10dp_vs_ctrl,809,652,myo3a,9.146463,1.4744124,5.88281326507925e-20,5.834983435489257e-17
Cones,10dp_vs_ctrl,809,652,rpl32,9.084528,1.1090344,1.0414988007419353e-19,9.899880058885738e-17
Cones,10dp_vs_ctrl,809,652,hsp70l,8.93022,1.6318543,4.2516380883455396e-19,3.879704788377071e-16
Cones,10dp_vs_ctrl,809,652,dynll1,8.91893,1.7566828,4.708134144660562e-19,4.1310255477746695e-16
Cones,10dp_vs_ctrl,809,652,pde6c,8.903836,0.7529175,5.394897850791801e-19,4.55828906185605e-16
Cones,10dp_vs_ctrl,809,652,grk7a,8.722147,1.1787957,2.7297554419421093e-18,2.2240682463223334e-15
Cones,10dp_vs_ctrl,809,652,foxo1a,8.717407,2.1199832,2.846460362527294e-18,2.237760972051562e-15
Cones,10dp_vs_ctrl,809,652,cnga3b,8.711107,1.8722185,3.00920896660044e-18,2.237760972051562e-15
Cones,10dp_vs_ctrl,809,652,sh3gl2a,8.709922,1.4034599,3.040835932740035e-18,2.237760972051562e-15
Cones,10dp_vs_ctrl,809,652,camkk1b,8.669755,1.4742254,4.330525211090432e-18,3.0872584887689383e-15
Cones,10dp_vs_ctrl,809,652,per1a,8.654972,2.1803954,4.930304925134389e-18,3.408334735063358e-15
Cones,10dp_vs_ctrl,809,652,rnf34b,8.434987,2.825258,3.312400147469833e-17,2.2225230754185086e-14
Cones,10dp_vs_ctrl,809,652,rps19,8.410038,1.0443735,4.0987753274970956e-17,2.5973711540608678e-14
Cones,10dp_vs_ctrl,809,652,dclk2a,8.400496,1.309223,4.445996852999477e-17,2.741257465066948e-14
Cones,10dp_vs_ctrl,809,652,cngb3.1,8.35041,1.5864319,6.802607526714674e-17,3.979176551460048e-14
Cones,10dp_vs_ctrl,809,652,ppa1a,8.30201,1.3593459,1.0236458891812295e-16,5.838108417472847e-14
Cones,10dp_vs_ctrl,809,652,rps18,8.248058,1.1875411,1.60988807409609e-16,8.957652837647342e-14
Cones,10dp_vs_ctrl,809,652,hmga1b,8.227912,1.4085255,1.9050463498082197e-16,1.0347576756708313e-13
Cones,10dp_vs_ctrl,809,652,ciartb,8.206019,2.8703983,2.286419830212725e-16,1.2130254787591371e-13
Cones,10dp_vs_ctrl,809,652,rpl14,8.191424,1.1633382,2.581520274237807e-16,1.3384595912769793e-13
Cones,10dp_vs_ctrl,809,652,rpl36,8.147327,1.0679235,3.720543882388374e-16,1.8861503908650217e-13
Cones,10dp_vs_ctrl,809,652,rps28,8.127556,1.1111639,4.380328872314541e-16,2.1448096478290935e-13
Cones,10dp_vs_ctrl,809,652,hsp90ab1,8.126495,1.0091474,4.4187986432283077e-16,2.1448096478290935e-13
Cones,10dp_vs_ctrl,809,652,pcloa,8.0998,1.1837097,5.504945852920649e-16,2.616340202972474e-13
Cones,10dp_vs_ctrl,809,652,rpl29,8.030255,1.024555,9.726973140805338e-16,4.438028765223843e-13
Cones,10dp_vs_ctrl,809,652,unc119b,8.019777,0.97805786,1.0593713102818543e-15,4.738713274796067e-13
Cones,10dp_vs_ctrl,809,652,rps29,8.014725,0.8975721,1.1038363320228591e-15,4.842657354314902e-13
Cones,10dp_vs_ctrl,809,652,mef2cb,8.008176,1.216498,1.1642217464287954e-15,5.01120579269436e-13
Cones,10dp_vs_ctrl,809,652,slc12a7b,7.9698796,1.2621782,1.588289005551264e-15,6.709932793266849e-13
Cones,10dp_vs_ctrl,809,652,adarb1a,7.964578,2.0084414,1.6578845592743511e-15,6.876603718313778e-13
Cones,10dp_vs_ctrl,809,652,mtmr10,7.956844,1.551115,1.7648302703745485e-15,7.189477313938317e-13
Cones,10dp_vs_ctrl,809,652,dedd1,7.9525404,1.3908708,1.8272533697700976e-15,7.313180899046533e-13
Cones,10dp_vs_ctrl,809,652,per1b,7.93439,1.132141,2.1153224004262758e-15,8.320146538090453e-13
Cones,10dp_vs_ctrl,809,652,rpl23a,7.9032664,1.1157938,2.7168779247600838e-15,1.050510781314437e-12
Cones,10dp_vs_ctrl,809,652,rpl37-1,7.871644,1.0220294,3.5001101638746114e-15,1.3308002194745253e-12
Cones,10dp_vs_ctrl,809,652,ankrd33ab,7.867278,1.7967452,3.624407939950373e-15,1.3554691530178338e-12
